iter	Passed	Remaining
672	5815	2825
673	5824	2817
674	5831	2807
675	5840	2799
676	5848	2790
677	5856	2781
678	5863	2771
679	5872	2763
680	5880	2754
681	5889	2746
682	5900	2738
683	5909	2730
684	5918	2721
685	5926	2712
686	5935	2704
687	5942	2694
688	5950	2686
689	5958	2676
690	5966	2668
691	5974	2659
692	5983	2650
693	5991	2641
694	6000	2633
695	6007	2624
696	6017	2615
697	6024	2606
698	6033	2597
699	6040	2588
700	6048	2580
701	6056	2570
702	6064	2562
703	6073	2553
704	6081	2544
705	6089	2535
706	6098	2527
707	6105	2518
708	6115	2510
709	6123	2501
710	6131	2492
711	6139	2483
712	6147	2474
713	6155	2465
714	6164	2457
715	6171	2448
716	6180	2439
717	6187	2430
718	6196	2421
719	6203	2412
720	6212	2404
721	6220	2395
722	6229	2386
723	6236	2377
724	6246	2369
725	6253	2360
726	6262	2351
727	6269	2342
728	6278	2333
729	6285	2324
730	6294	2316
731	6302	2307
732	6311	2299
733	6319	2290
734	6328	2281
735	6336	2272
736	6345	2264
737	6353	2255
738	6362	2247
739	6370	2238
740	6379	2229
741	6388	2221
742	6396	2212
743	6403	2203
744	6412	2194
745	6420	2186
746	6427	2176
747	6434	2167
748	6443	2159
749	6450	2150
750	6459	2141
751	6467	2132
752	6476	2124
753	6483	2115
754	6492	2106
755	6500	2098
756	6509	2089
757	6516	2080
758	6525	2071
759	6532	2063
760	6541	2054
761	6548	2045
762	6556	2036
763	6563	2027
764	6572	2018
765	6579	2009
766	6587	2001
767	6595	1992
768	6603	1983
769	6611	1974
770	6619	1966
771	6627	1957
772	6635	1948
773	6643	1939
774	6651	1931
775	6659	1922
776	6667	1913
777	6675	1904
778	6683	1896
779	6690	1887
780	6699	1878
781	6706	1869
782	6715	1861
783	6724	1852
784	6732	1843
785	6740	1835
786	6748	1826
787	6755	1817
788	6764	1808
789	6772	1800
790	6780	1791
791	6788	1782
792	6796	1774
793	6803	1765
794	6811	1756
795	6819	1747
796	6828	1739
797	6847	1733
798	6862	1726
799	6873	1718
800	6883	1710
801	6892	1701
802	6899	1692
803	6907	1683
804	6916	1675
805	6925	1666
806	6933	1658
807	6942	1649
808	6950	1641
809	6959	1632
810	6967	1623
811	6975	1615
812	6983	1606
813	6991	1597
814	6998	1588
815	7006	1579
816	7014	1571
817	7022	1562
818	7030	1553
819	7038	1544
820	7046	1536
821	7055	1527
822	7062	1518
823	7070	1510
824	7078	1501
825	7086	1492
826	7095	1484
827	7103	1475
828	7111	1466
829	7118	1457
830	7127	1449
831	7135	1440
832	7143	1432
833	7150	1423
834	7159	1414
835	7167	1405
836	7175	1397
837	7182	1388
838	7190	1379
839	7198	1371
840	7206	1362
841	7214	1353
842	7223	1345
843	7231	1336
844	7240	1328
845	7248	1319
846	7257	1310
847	7264	1302
848	7273	1293
849	7281	1284
850	7290	1276
851	7297	1267
852	7306	1259
853	7313	1250
854	7323	1241
855	7331	1233
856	7341	1224
857	7349	1216
858	7356	1207
859	7364	1198
860	7373	1190
861	7382	1181
862	7390	1173
863	7399	1164
864	7407	1156
865	7416	1147
866	7424	1138
867	7435	1130
868	7443	1122
869	7452	1113
870	7460	1104
871	7468	1096
872	7477	1087
873	7488	1079
874	7499	1071
875	7508	1062
876	7518	1054
877	7528	1046
878	7537	1037
879	7546	1029
880	7554	1020
881	7563	1011
882	7572	1003
883	7582	994
884	7591	986
885	7601	978
886	7611	969
887	7619	961
888	7628	952
889	7636	943
890	7645	935
891	7654	926
892	7664	918
893	7672	909
894	7681	901
895	7689	892
896	7699	884
